"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"10k1","1","R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"BT1","1","Battery","","","","",""
"C1","1","C_Small","","","","Capacitor_THT:CP_Axial_L11.0mm_D6.0mm_P18.00mm_Horizontal",""
"C2,C3","2","C_Small","","","","Capacitor_THT:CP_Axial_L11.0mm_D8.0mm_P15.00mm_Horizontal",""
"C_USB1","1","1 μF","","","","Capacitor_THT:CP_Axial_L18.0mm_D10.0mm_P25.00mm_Horizontal",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","BATTERY","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J3","1","AudioJack3","","","","",""
"PPG/SPO1","1","MAX30101EFD_T","","","","MAX30101EFD_T:PSON80P560X330X165-14N",""
"R1,R2","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3,R4","2","5.1kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","1","3kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_CHARGER1,R_EN1,R_LCD1","3","10kΩ","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_REGULATOR1","1","100kΩ","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"SW1","1","CK_KMS2xxGP","","","","Button_Switch_SMD:SW_SPST_CK_KMS2xxGP","https://www.ckswitches.com/media/1482/kms.pdf"
"U1","1","MAX30205MTA_","","","","MAX30205MTA_:SON65P300X300X80-9N",""
"U2","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U3","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U4","1","LPF-B0R3","","","","RF_Mini-Circuits:Mini-Circuits_HZ1198_LandPatternPL-247","https://www.minicircuits.com/pdfs/LPF-B0R3+.pdf"
"U5","1","CR2013-MI2120","","","","Display:CR2013-MI2120","http://pan.baidu.com/s/11Y990"
"U6","1","AD8232","","","","AD8232:AD8232",""
"VOLTAGEREGULATOR1","1","ME6211C33M5","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_MICRONE-Nanjing-Micro-One-Elec-ME6211C33R5G_C235316.pdf"
